"Department","Date","StaffedHours","AvailableHours","AUXHours","OtherHours","TargetSL","WithinServiceLevel","SLGoal","SL","TotalCalls","ASA","AvgACDTime"
"Fire Admin Tech",2021-05-29,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-30,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-31,0,0,0,0,65,82,0.65,0.82,55,33.5714302063,0
"Monitoring",2021-05-01,145.653888888889,35.3130555555556,82.5508333333333,8.38472222222222,71,84,0.71,0.84,1571,20.4551715851,1.96854248046667
"Monitoring",2021-05-02,142.914444444444,38.2186111111111,78.6136111111111,8.24972222222222,71,56,0.71,0.56,2261,131.95413208,2.25808436076667
"Monitoring",2021-05-03,174.2325,35.8183333333333,88.5580555555556,11.4686111111111,71,64,0.71,0.64,2313,66.1198272705,1.97767588298333
"Monitoring",2021-05-04,149.199444444444,25.0147222222222,73.8555555555556,13.4116666666667,71,70,0.71,0.7,2986,56.4468841553,1.79212926228333
"Monitoring",2021-05-05,178.621944444444,30.8688888888889,98.8247222222222,12.6352777777778,71,72,0.71,0.72,2623,37.4174842834,1.70702374776667
"Monitoring",2021-05-06,193.021111111111,44.4772222222222,102.144722222222,11.5152777777778,71,59,0.71,0.59,2425,76.712562561,1.7021706899
"Monitoring",2021-05-07,157.083055555556,37.6563888888889,75.815,10.7397222222222,71,79,0.71,0.79,1929,24.266544342,1.82170855205
"Monitoring",2021-05-08,163.439166666667,37.3325,99.9227777777778,8.16666666666667,71,83,0.71,0.83,1447,19.1783790588,1.83480389913333
"Monitoring",2021-05-09,129.3675,41.4163888888889,68.3583333333333,5.88722222222222,71,76,0.71,0.76,2538,34.7787399292,1.99220720926667
"Monitoring",2021-05-10,183.142222222222,33.0519444444444,97.3566666666667,11.2688888888889,71,73,0.71,0.73,2512,38.686126709,1.97474784851667
"Monitoring",2021-05-11,178.069444444444,43.7702777777778,84.7088888888889,9.47138888888889,71,81,0.71,0.81,2751,26.3849277496,1.8540327708
"Monitoring",2021-05-12,176.03,34.1402777777778,93.9786111111111,9.72305555555556,71,70,0.71,0.7,2535,42.0693435669,1.68006477356667
"Monitoring",2021-05-13,187.823055555556,48.9341666666667,94.9794444444444,8.69944444444444,71,65,0.71,0.65,2566,55.3425750732,1.75962587991667
"Monitoring",2021-05-14,193.101388888889,39.3841666666667,107.981666666667,9.61444444444444,71,64,0.71,0.64,1917,68.0464248657,1.78840192158333
"Monitoring",2021-05-15,133.366388888889,34.0836111111111,72.3986111111111,7.17055555555556,71,92,0.71,0.92,1964,8.7858877182,1.93249994913333
"Monitoring",2021-05-16,156.7575,53.6602777777778,78.5627777777778,7.08083333333333,71,76,0.71,0.76,2445,32.1482162476,2.30081100463333
"Monitoring",2021-05-17,190.166111111111,46.1097222222222,95.0169444444444,11.6697222222222,71,71,0.71,0.71,2202,78.9266204834,1.88799934386667
"Monitoring",2021-05-18,159.196944444444,38.4977777777778,75.8172222222222,9.395,71,76,0.71,0.76,2595,34.3719711304,1.85224202473333
"Monitoring",2021-05-19,178.7025,33.5505555555556,97.4366666666667,9.04111111111111,71,63,0.71,0.63,2420,79.2548828125,1.81645037333333
"Monitoring",2021-05-20,188.588055555556,49.0658333333333,94.2769444444444,9.99277777777778,71,51,0.71,0.51,2317,153.917572021,1.80858917236667
"Monitoring",2021-05-21,167.113611111111,33.3958333333333,88.6805555555556,10.5416666666667,71,66,0.71,0.66,1850,59.6278266907,1.8795387268
